pci,coordinates
46,"[(41.668668, -86.312074), (41.665888, -86.309139), (41.665928, -86.307364), (41.664716, -86.306825), (41.66407, -86.30529), (41.66494, -86.304193), (41.665699, -86.304165), (41.666678, -86.304989), (41.668138, -86.305589), (41.668882, -86.311233), (41.668668, -86.312074)]"
187,"[(41.669796, -86.311516), (41.669194, -86.31137), (41.668502, -86.306741), (41.669147, -86.30621), (41.668295, -86.303162), (41.669953, -86.303187), (41.671277, -86.302975), (41.671861, -86.303723), (41.671706, -86.306809), (41.669796, -86.311516)]"
88,"[(41.672278, -86.288525), (41.672108, -86.293296), (41.671573, -86.293295), (41.668665, -86.290222), (41.667597, -86.28716), (41.667969, -86.284853), (41.668659, -86.283754), (41.669942, -86.283847), (41.672278, -86.288525)]"
26,"[(41.671088, -86.293551), (41.668499, -86.295571), (41.664401, -86.294859), (41.664272, -86.292603), (41.667256, -86.290647), (41.668474, -86.290448), (41.671109, -86.29294), (41.671088, -86.293551)]"
14,"[(41.671234, -86.293616), (41.67165, -86.29426), (41.672428, -86.299486), (41.672283, -86.30019), (41.671447, -86.302787), (41.668437, -86.302844), (41.668075, -86.302294), (41.668524, -86.295763), (41.671234, -86.293616)]"
96,"[(41.672278, -86.293328), (41.675454, -86.295394), (41.676669, -86.297571), (41.6772, -86.299883), (41.676073, -86.301717), (41.67551, -86.302033), (41.674088, -86.301497), (41.672817, -86.29965), (41.671965, -86.294036), (41.672278, -86.293328)]"
10,"[(41.664476, -86.253193), (41.663921, -86.252742), (41.664177, -86.24602), (41.664507, -86.244543), (41.664937, -86.243833), (41.665513, -86.243216), (41.666579, -86.243202), (41.667579, -86.243964), (41.668126, -86.246991), (41.667935, -86.248442), (41.664476, -86.253193)]"
78,"[(41.663634, -86.252901), (41.66249, -86.253567), (41.659455, -86.249962), (41.659092, -86.248182), (41.659744, -86.245988), (41.660659, -86.244549), (41.662062, -86.244408), (41.662949, -86.245198), (41.663964, -86.246502), (41.663634, -86.252901)]"
200,"[(41.661767, -86.254603), (41.659263, -86.256836), (41.656245, -86.256407), (41.654347, -86.254139), (41.656317, -86.251027), (41.659287, -86.250433), (41.661592, -86.253372), (41.661767, -86.254603)]"
1,"[(41.662208, -86.254802), (41.663249, -86.25529), (41.663331, -86.260392), (41.663146, -86.261217), (41.661544, -86.263018), (41.660782, -86.264675), (41.659622, -86.264932), (41.659142, -86.263727), (41.658426, -86.262045), (41.659167, -86.257739), (41.660345, -86.256286), (41.662208, -86.254802)]"
165,"[(41.663583, -86.254837), (41.664187, -86.254721), (41.667986, -86.257342), (41.668184, -86.258696), (41.668875, -86.260164), (41.668577, -86.260478), (41.668656, -86.261686), (41.66878, -86.263504), (41.668485, -86.264776), (41.667842, -86.264774), (41.666313, -86.2641), (41.664868, -86.262329), (41.663549, -86.260775), (41.663583, -86.254837)]"
69,"[(41.664853, -86.253201), (41.666971, -86.250128), (41.668535, -86.250301), (41.671415, -86.251427), (41.672355, -86.252764), (41.672464, -86.25402), (41.672193, -86.255143), (41.671105, -86.255787), (41.670575, -86.256432), (41.668331, -86.257011), (41.664953, -86.254554), (41.664853, -86.253201)]"
150,"[(41.654929, -86.242319), (41.654569, -86.24211), (41.654704, -86.237243), (41.654977, -86.234908), (41.656045, -86.234752), (41.656753, -86.233957), (41.657797, -86.23403), (41.658043, -86.234909), (41.658063, -86.237656), (41.658045, -86.238939), (41.654929, -86.242319)]"
194,"[(41.654296, -86.242291), (41.653665, -86.242517), (41.650981, -86.239691), (41.650045, -86.238124), (41.649914, -86.236582), (41.650427, -86.235256), (41.651026, -86.234515), (41.651922, -86.234645), (41.653732, -86.236931), (41.654431, -86.237407), (41.654296, -86.242291)]"
6,"[(41.653597, -86.243275), (41.653445, -86.244375), (41.651863, -86.245827), (41.651249, -86.246037), (41.650231, -86.246038), (41.64924, -86.245877), (41.64852, -86.245203), (41.648354, -86.243801), (41.648255, -86.242785), (41.648847, -86.242089), (41.649471, -86.241664), (41.650678, -86.241462), (41.651183, -86.241196), (41.651754, -86.241289), (41.653597, -86.243275)]"
169,"[(41.653888, -86.244449), (41.654093, -86.244888), (41.654318, -86.248984), (41.654252, -86.251579), (41.653848, -86.252499), (41.653106, -86.252636), (41.650991, -86.252123), (41.65052, -86.251362), (41.6504, -86.250158), (41.650815, -86.248009), (41.651686, -86.24657), (41.652732, -86.24517), (41.653888, -86.244449)]"
195,"[(41.654297, -86.244249), (41.655188, -86.243889), (41.657835, -86.245492), (41.659166, -86.247452), (41.659133, -86.249694), (41.658905, -86.250526), (41.656312, -86.251142), (41.655433, -86.250627), (41.654525, -86.248421), (41.654297, -86.244249)]"
189,"[(41.655256, -86.242829), (41.657035, -86.241125), (41.660226, -86.241041), (41.661666, -86.241581), (41.662379, -86.242721), (41.662343, -86.244394), (41.66193, -86.245516), (41.66019, -86.246425), (41.65922, -86.246872), (41.655446, -86.243569), (41.655256, -86.242829)]"
